Network;Silo;Vault;Address;Type;Net Deposited Assets;Debt;Claim Amount;Symbol
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x1597e4b7cf6d2877a1d690b6088668afdb045763;eoa;505857,957484;0;505857,957484;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x3e85eb8a90f909e84e01cc5b8a603a54effde8fd;Gnosis Safe;173567,85665;124883,713799;-907126,857149;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x43e1ccfe765f6c2a09bbe63d456bcb1e85835fe5;eoa;132085,824404;87842,063144;44243,76126;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x52ec89c04b0709d8a0be9584c5bb63bfe96f83a2;eoa;117139,676306;61008,618282;56131,058024;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x1ace35d5350da1b71bd7e9e7f5a09ff6cf14d2d6;eoa;111089,323139;0;111089,323139;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xc7f5dc322325021dc3954bdb35bde58830f8581d;eoa;99940,986373;0;99940,986373;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x73860dc8055a36199fa017e4d9b6584e1497df85;eoa;80815,014581;0;80815,014581;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x9c68a6315c76746de52c39147883b8406b514eec;eoa;65714,325602;0;65714,325602;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x7b0a7e6845ebd3460c63641f3ba19394227cba2c;eoa;56499,382907;0;56499,382907;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b;eoa;51484,423791;0;51484,423791;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x098ddb5f48ad1daa5f691c4b2ad6360e45a22747;eoa;20792,637576;0;20792,637576;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xd9eba6cd776e57db63673dfb60ea0bda955c9c4d;eoa;20702,435144;0;-1774,092186;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x2130fd01026867a6c8dde24ad5e64f2e2dfce196;eoa;17571,062279;12650,551531;3268,385248;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x991cec65a906b5727b32d175cfc550673a20ed17;eoa;12387,959165;0;12387,959165;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xb0089942e4d15b124db1e4f8f4fe5d1f94707eef;eoa;12017,600153;0;12017,600153;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x023156f5e5885c580c84536379fc549d0e940d18;eoa;11533,168851;0;11533,168851;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xde4901634990888102a7a017f36c7bd2f1dc2b1e;eoa;11033,454881;0;0,000002;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x703d4746ad3948b19fcf1ebf7b27a3119b38f7f5;eoa;10117,254637;0;10117,254637;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x63284c54a82ca1785a0a03fa8402efd735edb333;eoa;8710,780357;5821,883418;2797,845539;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x61d93abebf959dab5720001d2c7b5e3ac8f4573f;eoa;8574,419266;0;8574,419266;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x4500720c4e0e29ab62e13e8526cce1887c789347;eoa;8103,625939;0;8103,625939;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x6cc19692eabf3dae59e3eeea81dcb9340f159506;eoa;8098,263337;0;0;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xf87f7d563558bebf1031bcf09ba6ca60097cc7ab;eoa;7914,783938;0;7914,783938;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xbcf2fe83855876d7d0a59d38f7f8bd904f8941b7;eoa;7342,580392;4878,580632;2463,99976;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x31480e7c8d8221889db6281c0829c7d6ff4e5b33;eoa;5442,921631;0;5442,921631;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x9831bb48e27a6b74260823c10d15b577e891a37b;eoa;5261,811327;0;5261,811327;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x8325aff2ccc014468cdf20f2538d8534db7a100f;eoa;5171,362406;0;5171,362406;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x429aad5a335c322834d3296ef5187b9761c232b2;eoa;5063,637804;0;5063,637804;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x9d3c73222f2a4c0f9ced848d669393340db7d623;eoa;5061,946862;0;5061,946862;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x566d2fbf0106defc896489d1a7dd3ffa941f6682;eoa;5055,86166;0;5055,86166;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xcb1037a8d5f5b92d7679b64f202e210fcf70f994;contract_other;4098,778413;0;4098,778413;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x791f7179dd23ac94154c0d17ccccb0e2a2625174;eoa;4048,697881;0;4048,697881;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x8d404f26b44e0f7866d0bfe9a37fd8f6dfc9919f;eoa;4041,802081;0;4041,802081;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x92f5cfc57006e58eeeea7494c94efca7c3f17a73;eoa;3769,264385;0;3769,264385;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x8806af8877d2a4a0ff20b420dc13ee019c40ad4e;eoa;2851,639775;0;2851,639775;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xf5ce89d05c4c9ce54e21f7726beda9ad19ada8f3;eoa;2600,484421;0;2600,484421;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x3b930709dffdf9dc9bcc7ce01c53a1d5554fff3a;eoa;2222,014046;0;2222,014046;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x6c276ffd8f5e51c49460c636ab20684373c1e2da;eoa;2109,862641;0;2109,862641;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x8d7b4d479ff11db974cc313d09ed8f5c8661d558;eoa;2030,429956;0;2030,429956;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xfb85c9b9314c45661e0d553e271efefac154c839;eoa;2029,36705;0;2029,36705;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x7f9adb20217a0dabd313123c03421b58952fd740;eoa;1421,9941;0;1403,9633;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xe615784eb53bc634a64e5cde34c816cd64963301;eoa;1419,218269;0;1419,218269;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xa2737d198cbbba4dd56aa88a124e795671ac0507;eoa;1365,311285;0;1365,311285;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xa9eaef87c01b4c46a691862c7ba94401394b8b9c;eoa;1231,59846;0;1231,59846;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xaa4a0a82fa679cb46e5d10638f2dbc08d6d6a688;eoa;1171,763649;0;1171,763649;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x3cf38ac9a68a9bdad58f0878bd9943f2361b8504;eoa;1089,071986;0;1089,071986;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x9b5cc53f7a8437db63b2cecaaf393537e1447cb2;eoa;1072,396061;275,937757;1072,406909;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xbdf62f24369b7e1ad37d0c0e25687451a0a74dc8;eoa;1065,312592;0;1065,312592;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x26d067c1bd1762d9bb6efe783b1fcd925f0e746d;eoa;1064,554867;0;1064,554867;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xc3a03c3f58c674fc41756744bf2210c8bdbc4081;eoa;1057,350737;0;1057,350737;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xb772a176e367245b7a22c171688b3cde545e8a60;eoa;1051,226445;0;1051,226445;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x0a7e2c1221d805e8488433291420a62c604ab1ba;eoa;1016,902487;675,851926;341,050561;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x5c4d6626440448ca778ae2c94908c02592149cf8;eoa;938,424749;0;938,424749;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xcca241aa38ad3e4a252a42690c5642c9f981e33d;eoa;813,787396;0;813,787396;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x5e835b411ce26177a9dff28ac759123599d4e536;eoa;719,117531;0;719,117531;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x730e48b75ceac21679d77adc3f5e2344f453532e;eoa;675,788136;0;675,788136;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x54abb9f417702f25d91b1987bb56f235298af9d7;eoa;651,67;0;651,67;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xc110d5f2af2c352511b6586271615a9a59a2270a;eoa;641,668701;0;641,668701;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x62a4a8f9f5f3aae9ee9cee780285a0d501c12d09;eoa;508,649351;177,116553;331,532798;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x86234e0267437ddcf1be478cd766b5ace0ccca88;eoa;507,783822;0;507,783822;USDC
