Address,Amount,LP,Percent,Contract
0xe5ebcde141e98c23c150bc350b72c23fdcb747c1,1274731366025,1416039823374010,0.16165225,
0x343ce8a4ab63430a205b672aa2cebb7ada6f7f8e,476042547382,528813538820617,0.06036829,
0x403d37c861fb54b8f37a3a1870abce335954840b,346327413561,384719025984081,0.04391875,
0x1a55668a138c4212c116d62fe6e78a51602b9716,295534074034,328295066042879,0.03747750,
0x1f2e1c90e118ed4e0cae7f52e169a1208a327c1a,268875824587,298681655841713,0.03409690,
0x82e8936b187d83fd6eb2b7dab5b19556e9deff1c,240596471327,267267436765663,0.03051071,
0x5314ec567d899b1ad5f036517fff2004e7fe5100,204237729573,226878200551933,0.02589996,
0xcfc00d652b699cd60624fd7a1b0245ef016178be,198696256606,220722435807639,0.02519723,
0xbedde0eef707f26343c9827c2c37ec2068b2e5e3,177436349550,197105793246781,0.02250120,
0x20782263d459e3b0ea8e3b825e5017c80248728e,159628594464,177323985848961,0.02024295,
0xc7331842cd079598093b17ef123f795f96112ae8,148570633392,165040210882240,0.01884066,
0x1b6201accc757d4f9dc5825eb453aaa13a5e6708,148213499945,164643487935987,0.01879537,
0x9d3666ac78ee404d3f490e4216b9c79e35aa97d9,111692648924,124074172072592,0.01416406,
0x6a0977551f89cc9bae21c630dcb3e4f282179a02,106689486077,118516391019263,0.01352959,
0x7549c04c9be58db47def7722e84d22b7697955f2,102666385520,114047315609348,0.01301941,
0x6edcdcf3891d0e6e24b2c51e2dfab1835adb6801,99298793635,110306414314277,0.01259236,
0x6e812e21585dae223a038d0a4486f7c0a4f899ec,96471607893,107165825084696,0.01223383,
0x61deb254600626db6b4612c71dd1ce312c61bbe5,84351836884,93702534813245,0.01069689,
0xf66ddd0423873dc3007cafc8bea769db85d7d8fb,83632941652,92903947515185,0.01060573,
0xd0b4451a6e8b1da87bfa833e516c7474000853f3,81264227582,90272653155680,0.01030534,
0x623f1d5821fa3856e33bf461cd973acff6e0d24d,80575140506,89507178352599,0.01021796,
0xeb25ae628eab9b35a39d21c0ca7a0623716a04aa,67791108402,75305991306417,0.00859678,
0x45f5288431d6e480535901196491f9f9554ad38d,62124902297,69011666316875,0.00787823,
0xe9fdba093438e0c0925ffdfc90cd580b9432fa40,60222946021,66898871495225,0.00763704,
0xf80bc12d43cef25c2a15a3f5f47eb76174caf38a,57754276120,64156540849137,0.00732398,
0x978bf7b29353c4a83d3c3320f7a352303ffc4fef,56842587772,63143788639783,0.00720837,
0xe8ae3bfaf6c16553c716b22580ebb3e34745ac44,53579083593,59518513539177,0.00679451,
0x89e6cfb2ebb0aae1f27d9bc2aa5558ae5bfd505f,51515133648,57225767480308,0.00653278,
0x4d952a7a03c0b2bd5908bc50f0b358655b2f6dc6,51277788631,56962111933023,0.00650268,
0x23ea6ee9077578373dfc64a64643b6db5fb5766e,51159483440,56830692195317,0.00648768,
0x413e717e73746f4fcd3bc4cb49cae850aed32dd3,50377241146,55961735590534,0.00638848,
0x014eddeab234be43e22f7aefb2f9c80317ebc21c,49389625295,54864639047305,0.00626324,
0x54287ddfe0b10b184c3bca80afafa0f4fc2202e7,49118161533,54563082572082,0.00622881,
0xf4b4ef5bd7ecdc1d121604c14e43a6d369071b1f,48838149754,54252030502097,0.00619330,
0x34d1a5fbe872bc114466fbefc936730ed63ca2cd,47419709169,52676350787151,0.00601343,
0x04b917bff85f5400e87866111a3e46b4ed82e40d,46120981119,51233654162946,0.00584873,
0x125110c3b1b4859d833b1353d7af5bda51baaf2e,44772764819,49735983342093,0.00567776,
0x4eaac96f2d275764ad7259c303fc932d8f6b1e49,42852193984,47602510472079,0.00543421,
0x53b85af4f52da3d1009b1f44674bef92bbb14cf0,42582636714,47303071830202,0.00540002,
0x52432473144056fe91aeae9240ad21e6b8213440,42378177696,47075947810622,0.00537410,
0x66f5a39d49155088b15be6a8f0529fa425800941,40822808265,45348160205284,0.00517685,
0x31957b1863fb5dd88fa1529b656fb6b988d6ab7e,40292684976,44759270884341,0.00510963,
0x8e8df055624250f6b3dca93d3357cd3f55d93a0d,39452142252,43825551041750,0.00500304,
0x7c5b02505e390f6eceebdfb6ead429feb1645057,38850071152,43156738241794,0.00492669,
0x0d36ffd3600ed18fb8218940abeccf5ca75b324f,38512771748,42782048011998,0.00488391,
0xb45c67d652c3f0064ebf8c51d5848e672349abf2,36246774945,40264857489973,0.00459655,
0xee076376d545edec84d52b9301d0f132064c0159,34793957753,38650990400180,0.00441232,
0x9f205b201a4dd38701f39f7b99742026dabde1ea,33298248759,36989476801211,0.00422264,
0x6778b84d06804ecc154998b3fc73e557a4f1062d,31858281124,35389883687026,0.00404004,
0x2cf4232fcf2e432091234c16024b691774fbeda0,31733201628,35250938688774,0.00402418,<Contract>
0xeb51ffe7b3c0078991ff9b95b4e409dcbaea42c4,31384332398,34863396077055,0.00397994,
0xc30350a8a5d10cf544fe2f4f4337a6daae8e0e05,29986581509,33310699583713,0.00380268,
0x9bf13be58b3491dca3b83a559c475f03bf028e65,29953709123,33274183178056,0.00379851,
0xd9ccc2693dde019715e8b83761ffb264097e3aad,29850730269,33159788755736,0.00378545,
0x21720f5425ecec9edc7a48cc070a8700bcdedba4,29629533675,32914071740962,0.00375740,
0x3ccd37bdb34537e962a4c7647b38efcd26070db4,29624377333,32908343800308,0.00375675,<Contract>
0x700e45b86fd440978dfa86b6ce84f6a3c5019cb0,29612243258,32894864620397,0.00375521,
0x7efeceb12528a19b0e73422594d671a52089a151,29588020070,32867956206773,0.00375214,
0x300f6890936e4d77afe449a0fa85608bf9702350,29562013091,32839066262639,0.00374884,
0x095c8ea24a29e77eb0c7194b7c717094d21c890d,28596273455,31766270989820,0.00362637,
0x99dcb6f686891d1650c873b39b9062bff4c5fe87,28453099562,31607225766991,0.00360822,
0x101ded8dec510217a437d4def7d8f4df59fddb6b,27369229150,30403204505983,0.00347077,
0x54b4ab76d7c9977428935eae6fe68cb5802ab0a1,26618209312,29568931476310,0.00337553,
0x12f4983f944c8d3f8983260bb6d3a2e2cea986e3,26570229377,29515632796688,0.00336945,
0x79b5ca3159cb6901b3ea37597542befb5fe45077,25818979941,28681104717269,0.00327418,
0x0ee6ece895ac549164ba2278a422b1f8effd16e6,23772772405,26408067875868,0.00301469,
0x9ab9f2f5178d78906fbbe026e1681e30ed4561d4,22761327597,25284500851909,0.00288643,<Contract>
0x9e7e9742b4cb3b288af5908240e04cbe49f07a3c,22746432048,25267954078889,0.00288454,<Contract>
0xc113ccba6815a7d0c2c277ddf1e10d557db3dbd0,22658661370,25170453712392,0.00287341,
0x7a58d9eda7e141547fff4f8ff152f1b4d617657d,21836652444,24257322204524,0.00276917,
0x4d53ef7bd0538e1941d7b7598eaaf0dc0e806778,21706138997,24112340882684,0.00275262,
0xd2a43987ca7fa2b15b10c816ea4fe44d74b5f975,21654024961,24054449822418,0.00274601,
0xc325605c062edc3db2f129e298972e0031b5ec78,20948902176,23271161695570,0.00265659,
0xe0daa23cac0f92d26c9b73f610c373677ce21e70,19771257583,21962971055632,0.00250725,
0xac46cb5602524044c6b3b97982dadcc8b2b77ec1,19415424234,21567692327817,0.00246212,
0x6f4b41b079dd1abc6ff00fc8ed9a472e68f3fe0f,19252444678,21386645914554,0.00244146,
0xfadfc981ecbf75d1906e822adf583530201fd55c,18997822638,21103798125476,0.00240917,
0xc8662258b5ef07b1fb7fba02a2802e01f31f7d3f,18416849142,20458421673161,0.00233549,
0x6cc3d6c4957658b7531e8ed355cf2aef5ba1e1d6,18283676530,20310486408523,0.00231860,
0x9ce81e746b9f0691f719d1c530d6860d01e02e93,17699655167,19661724222426,0.00224454,
0xac66e1de70ed1b982e4fdc9f25befaf22a6be619,17500302522,19440272635261,0.00221926,
0x99f8bcc92e0937ebf34d550086a37a667271ab57,17065958264,18957779787925,0.00216418,
0x8c5f57884497738b0f49b5770d7ed278daa772ee,16867156171,18736939783387,0.00213897,
0xf7263b7a939992ca4f3e2ccd206df3493d8e8f21,16648842738,18494425538154,0.00211129,
0xe4da32444226ab63b1f8e9b7322561b6e9314fc9,15826944586,17581417083974,0.00200706,
0xd1e62a3236856f995aeaa537e0925ea8f3863499,15619063866,17350492054688,0.00198070,
0x688820124180d3ae1064c764ac217933ed60d3ba,15298637558,16994545362955,0.00194006,
0xe2ce0768f569fc12aad40a8c3b1e682874a52d42,15092112028,16765125751249,0.00191387,
0x2057fa1c1176315c9ae4acd2d9e68ca7d0da8d20,14812820951,16454874275615,0.00187846,
0x502b6ffbbea3950b63719310405635ca28b028db,14200141386,15774277024986,0.00180076,
0xafd0bd59b595aa5304911003c22a89194fa99507,13630364860,15141338766194,0.00172850,
0xb808b288f6b0511d0359bc81a7886d0d5b6b66f4,13387350379,14871385274875,0.00169769,
0x617af12053fbba06e3ad4879ac40abf22a754fa6,13354984900,14835431968642,0.00169358,
0x55beb355c784968a483f219c09ba24fd8055a6f8,13002619850,14444006012975,0.00164890,
0x6c03264bb4f0fae243a9ab94c55877740f5d09d6,12302719216,13666518930941,0.00156014,
0xfc1ac55b0e329e4b3dd2f146bc464c236cddc0cf,12297536075,13660761220523,0.00155948,<Contract>
0xd36036e589803016cf6d510950ecbe75a0b28c29,12241813310,13598861390950,0.00155242,
0x3f8f962b7627e446c24a27da269028a08c8febb5,12214002469,13567967620366,0.00154889,
0x11111111ab461485bb3f676cfeb17acb99d58de6,11642296348,12932885864179,0.00147639,
0xa5510ed18ef430cfb06e9c164837d158a957a030,11569039078,12851507768027,0.00146710,
0x505fa5c1552887373cb8f804cae47340c6d3717d,11423273923,12689584032688,0.00144862,
0x784c13538d70af691ed861f4a55b07180bcd3acc,11400432981,12664211091897,0.00144572,
0x6b0529538c795bd91e76afba6b1e9451b457e5b0,10975258486,12191904508055,0.00139180,
0x94fac50959c6f6fe5a00d9b4e882c2628db2f839,10974438807,12190993964754,0.00139170,Safe 1.4.1
0xb2066980ac5d67f173bf0ada1ae336640a8005c8,10920958360,12131585022021,0.00138492,
0x18448d71ec2744258ec728b0d02b87bf39855bb4,10895695139,12103521284079,0.00138171,
0x4d625af9ff62fe8f88669d8ae5bb0a0577412b24,10358878294,11507196402902,0.00131364,
0x53af683f4abd7d425e117eddab82e49da463cff7,10250936009,11387288335790,0.00129995,
0x539460bd8d7d6130ce6c4a65c0b59da3b3d2da42,10044628717,11158111154534,0.00127379,
0xa459336a664fb9ce005e2a0ed9e90f69083517c6,9961945710,11066262445270,0.00126330,
0x231e6b09a4249c9dde585d1d664bb95adc3fc6ae,9958711826,11062670073849,0.00126289,
0x2c9fb235e706f13fcfb21904125f8467c805b816,9950439016,11053480193751,0.00126184,
0x8a4be368254a6d66d4de397d7172c53028c9d230,9923623643,11023692242298,0.00125844,
0x8cca50d31bcee3d82b74fc3f35ca021189892130,9915452643,11014615458197,0.00125741,
0x539a3fd3d080137013b77d8ccc08ee9558edd8d3,9910881119,11009537164675,0.00125683,
0x7ab7ba8d27e4fdbc68253d491060b1a029742d90,9900159345,10997626844301,0.00125547,
0x86b9f178cb840b32371c04508f859ebed473da90,9874751599,10969402560254,0.00125224,
0x208ed9064e68c571ff7b7fca2679fa4168d619f2,9874513666,10969138251543,0.00125221,
0xf22b4f001c0a47d4a42a3d8b5424803361fcd4fa,9863935663,10957387639690,0.00125087,
0x8df36936ed756ec96ec3030aaeec2d3f70b151d1,9852550891,10944740825654,0.00124943,
0xbf83f4cb8896ca3acc815d774d38ce179cf88494,9424146751,10468846579300,0.00119510,
0x498c902432fcbcf8a223aa272c639f9f92fc0944,9310891355,10343036424139,0.00118074,
0x98d51364d7c05b10dcb7239a3c5bb886856bb19d,9102412761,10111447244416,0.00115430,
0xb2ee2ac099a650c876313f2a8f60dc8e511911de,8982495830,9978237099660,0.00113910,
0xf1e2fd9fee154f175910244c82c7b63e7cfc3753,8699029838,9663347905009,0.00110315,
0xed135850acae3c01bdbbb1957f59e5cca7a4dca8,8662673296,9622961112400,0.00109854,
0x50bf2e9b445f11e7a9d554b34d4dadd5e84d15c8,8643782356,9601976045229,0.00109614,
0x4b7ccbc058bb1ff9e1a0540a28e577c212828172,8631024048,9587803433894,0.00109452,
0x796f31aa3118eb362559960f63157ca48d2b275f,8199249750,9108165435667,0.00103977,
0xbadc11224efb66aeb88c5a446082840eaf0eddde,8192888710,9101099252000,0.00103896,
0x54202192e79d57a328aef2207630c0488f8c9eda,8059140535,8952524621179,0.00102200,
0x2317f0514ed64bfb109a6b685f8ce1bbb620cbf1,7784865536,8647845273442,0.00098722,
0xf7181dd05873c42c50c7d85c558b91b4d2768f12,7317846001,8129054979676,0.00092800,
0xc69d496e1c2f75b4fd4effed18af624e80750c5a,7168385207,7963025930750,0.00090904,
0xbf4ad5587a9047f22622bd091f691f3bbdbed1a6,6433385377,7146548783334,0.00081584,
0x047f9cff9da6fa2005b4c7b3fcf49cf9edc44725,6187279881,6873161627126,0.00078463,
0xa1148b4949681858689f64cbb01109c243a3e59d,6143018000,6823993160872,0.00077901,
0x2cd0e893bf261a11405a6731be7e2f354c8a8430,6075125883,6748574963809,0.00077040,
0x665bd42921029721d7ea4bfa2518bc7706271c18,6060422371,6732241515766,0.00076854,
0x81a5e458f81b3cb905fc6a2ce32cb0e2cce2bee4,5984809431,6648246615306,0.00075895,
0xd47e8fb8daa1ef5da20030b29b7097aa159c7140,5960576200,6621327045380,0.00075588,
0xc5eb846ace00c77c206be10f555747d3849835e8,5923421206,6580053289557,0.00075117,
0x1c658fbeb31f149ac4c798de6fa88cdba30d8a51,5923163425,6579766932626,0.00075113,
0x1ef6b0ec71a024925cf28a57748a24c8ea54f2c7,5820113694,6465293776341,0.00073806,
0xf6f19a114dd462cfc97c2184e03414b489a05776,5813375982,6457809165258,0.00073721,
0xfd676d063a14751e7b7c4ce94c96e7cf15c31707,5750132635,6387555070707,0.00072919,
0x46a48160cc852a41401c1c9ce4b4d7953cc22254,5556480534,6172435952903,0.00070463,
0xc0c92c49f2e516550da3ee5feca2b2725ba32c7a,5432718707,6034954691897,0.00068894,
0xe02ca790fc3b5053f9a4b4d67daa63af5e1094c2,5106192092,5672231452668,0.00064753,
0x4e3c2c028389e035def870c0a80bfa1ed536d2eb,4993868490,5547456384151,0.00063329,
0xedbc3488cf76b2c9304aae12f1ecb8f4f7e58419,4969616107,5520515539158,0.00063021,
0xf8f85c9ed32574f4de3a4a8447f8ac689982e57b,4945724228,5493975161302,0.00062718,
0xe7b9753f8ceb3206d4c29fbf5f26bc92ed608f36,4930774309,5477367991176,0.00062529,
0xe359649454ea77e4cb50a9176f5821015ae57dc9,4929804885,5476291103115,0.00062516,
0x67522b69b4a0cb7b03c382183d173c5aaffee535,4924054110,5469902834470,0.00062443,
0x81ee4492b3a98b08bfae0ddc0d162223adf11edf,4898029878,5440993724781,0.00062113,
0x18b90c5c9a036f19329d1359cdc79c791807497f,4874323186,5414659062556,0.00061813,
0x2ab75af4a74c8528f0f4d3f0d522719761b707fb,4813103169,5346652591255,0.00061036,
0x1b61b20c47bfdd99005adf8bfd217c50de102034,4679210780,5197917759804,0.00059338,
0x312c72e52ad93086a6bae755f58907cca309d033,4657518118,5173820389891,0.00059063,
0xbe0525f6ec96b58f2c354b2f11b6a5783f8b4448,4603370088,5113669860234,0.00058377,
0x5e10e84ba766750e78f0ae31c918fc75a44c57f0,4572441200,5079312396169,0.00057984,
0x275a0e3934075b3660fa0a7501c837e0fa4f2e1a,4453520704,4947209144739,0.00056476,
0xe3fc7e87150d366d2ff1e6472bab16d7cc495f33,4433786484,4925287317013,0.00056226,
0xbbaddb11e107426c1a5efdc3421b8fd9698d6e7a,4404755852,4893038537305,0.00055858,
0x3795d799b703c2f91e298ddb09b61b43e0d59981,4294841081,4770939327180,0.00054464,
0xfb4d1f89e332218dd738d617864ac7f230637e5a,4285629921,4760707077683,0.00054347,
0xa1eca898ad4a4909c527c78b559ffdad005e761d,4255101138,4726794071665,0.00053960,
0xffe5c8e0e6ee3d1cccb8eb2846ce9ac73d0860b1,4239310122,4709252565977,0.00053760,
0x042e83d5071332ee03e4cf5515c2cf956b723f4b,4203848009,4669859352970,0.00053310,
0x1939e62b29e4970b0d2d63af3731e073e7ba98b5,4013383735,4458281444006,0.00050895,
0x49e05a38cb0563e961208edd8243882dcabb3e68,3966630256,4406345177346,0.00050302,
0xa0dce2188ef644caa8f93954f3989eb771b99e9b,3965880515,4405512324918,0.00050292,
