Address,Amount,LP,Percent,Contract
0x69a42364d0dc69c94b2deb71bde4db48127399f4,100061402192,117294451112738,0.30877043,
0x063608d16d09e48e46329d6bf833cd31dc341030,49390097112,57896293718139,0.15240843,
0x714d116d061313f75b1e7367231f946c1fc4d1b8,47156270923,55277747395780,0.14551527,
0x700e45b86fd440978dfa86b6ce84f6a3c5019cb0,31387489850,36793192111161,0.09685582,
0x06a734791347cd6e5a4be3dbc4fe536574865f5c,21283090128,24948564779820,0.06567556,Safe 1.4.1
0x6630527563f8b15c53d02658478dd91224857192,20068102613,23524326356623,0.06192634,
0xb0d28f3faba67d7d6b62581170d7c0ff5498be4a,19766041131,23170242414590,0.06099424,
0xd2a43987ca7fa2b15b10c816ea4fe44d74b5f975,13056584613,15305251495979,0.04029013,
0x76e2b380628a6991ebbf8575cf182ad4e4805a5a,7537174972,8835262967683,0.02325829,
0x06c90744b36fefc20d17018ba3dc31a00e922222,3807045232,4462712605126,0.01174782,
0x139d977ea2b9f7466f891d087ebfa27b9eefba7e,3492240660,4093690897738,0.01077639,
0x9de92154be1ab490af18b5ab7d204456be05ab13,2950182597,3458277026075,0.00910370,
0x343c2babd6397cf327c23c5988a10e3bd5783718,2430113096,2848638690774,0.00749887,
0x9d12632ec721b2deffa1c5224a19788a448ba809,926982642,1086631985986,0.00286049,
0x2086a811182f83a023c4da3dd9d2e5539b2d43c9,314028594,368112086779,0.00096903,
0xd3d99ab6981587d5522854ca370726eef63a8e4d,176406625,206788210027,0.00054436,
0x015f975c22438c48eb23f879ed3b293ed7fbd2d2,141851918,166282327617,0.00043773,
0x30d68cdd7bab626eea8581943839dfdd8a8ed0ed,53487526,62699401229,0.00016505,
0x7a140ce9b3aec43107482c5cdfe3a5b0c6fca4f7,35641728,41780115318,0.00010998,
0x038355d7639b2aa6795b3213e05457ab838e11ea,19174038,22476281699,0.00005917,
0x4fed5491693007f0cd49f4614ffc38ab6a04b619,5634585,6604999933,0.00001739,
0xc5f35ebce3ea365dbffc6a5a27819b660d24716d,4953721,5806874308,0.00001529,
0xb30dd1205e5ddc7d20e99b813441e06fd9a0b0ff,75601,88621363,0.00000023,
