Address,Amount,LP,Percent,Contract
0xf52d5611fadf5d1065bb58ed59b4595859751abd,3.44424E+11,2.28198E+14,0.1682819,
0xe4869f882387a1cfd1743331247474fd922b55af,2.15557E+11,1.42818E+14,0.10531893,
0x7549c04c9be58db47def7722e84d22b7697955f2,2.13169E+11,1.41235E+14,0.10415206,
0x1b6201accc757d4f9dc5825eb453aaa13a5e6708,1.47436E+11,9.76838E+13,0.07203559,
0x7c3ad821eab5b8a4588f8787df2dad63cfb8383e,1.27187E+11,8.42676E+13,0.06214202,
0x69a42364d0dc69c94b2deb71bde4db48127399f4,99143815137,6.56878E+13,0.04844057,
0x19d597612958a4cdc963f79d11aa4a640e5ad41a,66017298547,4.37398E+13,0.03225532,
0xe93a964134baefa78734abc0bd14135de610fbc4,61371241886,4.06615E+13,0.02998531,
0xe167720b29882a19a5a6f4bc974e8037b126e10a,41239057630,2.7323E+13,0.02014895,
0x8ab4e5f00e60afed2b79959df6b54990053efca5,33687615275,2.23197E+13,0.01645939,
0xbe2174ff12a71b6deeca5b9aaf4c2931e8c62ae5,31102657337,2.06071E+13,0.01519641,
0x688820124180d3ae1064c764ac217933ed60d3ba,29009945843,1.92206E+13,0.01417394,
0x0c325835631468efcae362de9b1acbe238f4e2f5,27182831411,1.801E+13,0.01328123,
0x2cf4232fcf2e432091234c16024b691774fbeda0,25903759364,1.71625E+13,0.01265629,
0x542f13f1d466ee410cc77df54ee970cc0113302d,25443150268,1.68574E+13,0.01243124,
0x38f927ae96c428397f29fc0d9a8ae72e7b3029a9,24680401420,1.6352E+13,0.01205857,
0x23ea6ee9077578373dfc64a64643b6db5fb5766e,24523984652,1.62484E+13,0.01198215,
0x101ded8dec510217a437d4def7d8f4df59fddb6b,23127782321,1.53233E+13,0.01129998,
0x361aba96e0c910ab9d665ff069d64810937a8bdb,20499703249,1.35821E+13,0.01001593,
0x86418a39855b99a29b7ca2b700a8e5132980736e,19641890446,1.30137E+13,0.00959681,
0xfadfc981ecbf75d1906e822adf583530201fd55c,19195075002,1.27177E+13,0.0093785,
0x31957b1863fb5dd88fa1529b656fb6b988d6ab7e,16782752687,1.11194E+13,0.00819987,
0x34326bbc38d44369342da3195ed755a2788b5e3e,16310842484,1.08068E+13,0.0079693,
0x9b33cc1fd5f95e2b72bd7effee8a17683006a82b,15768019407,1.04471E+13,0.00770408,
0x4bb0eea76cde42445392b594ffc791c27e6e1047,13891177638,9.2036E+12,0.00678707,
0x69d7bdeb6a3e0643e53a8453490165677828c3e7,13874429683,9.19251E+12,0.00677889,
0x964e44543251500022dcfe5564bb9e1ee5deb4b7,12977213385,8.59806E+12,0.00634052,
0x19796e4fcbb100f27ed55d917ed7c3b54a99dccd,12181205206,8.07066E+12,0.0059516,
0x45b98266e58ef552f82515c1f9180c8564f0564a,11403050953,7.5551E+12,0.0055714,
0x53f016ce9afcfee0e4a371f7a103847385f01a8e,10950382768,7.25518E+12,0.00535024,
0xcc6c6eee55f9ac90943212806e8b5167924d1f5b,10783052641,7.14432E+12,0.00526848,
0x6e4aeb2af9ce3b67116d8b19e6f1ca6b318fc629,9902897835,6.56117E+12,0.00483845,
0xe0daa23cac0f92d26c9b73f610c373677ce21e70,9865757390,6.53656E+12,0.0048203,
0x8a4be368254a6d66d4de397d7172c53028c9d230,9847863849,6.52471E+12,0.00481156,
0x8e8df055624250f6b3dca93d3357cd3f55d93a0d,9835198476,6.51631E+12,0.00480537,
0xb46d7d5ee5e7c898d3a6e2aa0ad0653b70bea853,9826495012,6.51055E+12,0.00480112,
0x3783d321672632a8d09226cf7e05b1608108a499,9783816693,6.48227E+12,0.00478026,
0x06a734791347cd6e5a4be3dbc4fe536574865f5c,9706140400,6.43081E+12,0.00474231,Safe 1.4.1
0x231e6b09a4249c9dde585d1d664bb95adc3fc6ae,8660168311,5.7378E+12,0.00423126,
0x2057fa1c1176315c9ae4acd2d9e68ca7d0da8d20,7701102789,5.10237E+12,0.00376267,
0x275a0e3934075b3660fa0a7501c837e0fa4f2e1a,7514364742,4.97865E+12,0.00367144,
0x5947ea0572acef62ed7ed7022b188d144bb79230,7071875362,4.68547E+12,0.00345524,
0x2c9fb235e706f13fcfb21904125f8467c805b816,6948939785,4.60402E+12,0.00339517,
0x5a058211b8c3cd4a9356e4e0e244a5d81718cd37,6440399634,4.26709E+12,0.00314671,
0x6a6be4c5e3bf8f1d68885953461e41165151728d,5921078395,3.92301E+12,0.00289297,
0x9fc620c4796eb877d69b760bae542816371fe692,5909252603,3.91518E+12,0.0028872,
0x8d6b22d2150ba5e9dbbb163d890c82af4a978c65,5147856670,3.41071E+12,0.00251519,
0x6a2a20e9908eb3bc2ec9f4e60c1f8e6221f07067,4996613335,3.31051E+12,0.00244129,
0xe0d4a2ba702ce385f950cf5f697569bf97723666,4935021271,3.2697E+12,0.0024112,
0x35eb80deaaafc3dae9251e278419afdc0c86c103,4912993772,3.25511E+12,0.00240043,
0xaf56396dbea5c366e8e5101b05239203e079ac88,4772807078,3.16223E+12,0.00233194,
0xdc05dcb3ff25f0d3c9c4bf63decc744ada48f3f4,4771646244,3.16146E+12,0.00233137,
0x8f5936f7a77bda76ac94b93c7d5ae080d661be9c,4447375680,2.94661E+12,0.00217294,
0xfb4d1f89e332218dd738d617864ac7f230637e5a,4384026813,2.90464E+12,0.00214199,
0xeb66e04421c579340c3aaedfea21d84a7ea7f5c2,4113115696,2.72515E+12,0.00200962,
0xc69d496e1c2f75b4fd4effed18af624e80750c5a,4111923443,2.72436E+12,0.00200904,
0xe203474b93f39eb316ff33944144b179ff2c125c,4023186677,2.66556E+12,0.00196568,
0xb2a13a1bc67ab336d7efe0ea3573c7683c25002e,4002884538,2.65211E+12,0.00195576,
0x93ae56d3619f5f5b2c81f6ce50e8c1a80d752233,3982146273,2.63837E+12,0.00194563,
0xc9e7d5cb91c8387cb1c243714c805086d2d5b0ff,3945451286,2.61406E+12,0.0019277,
0xf8f85c9ed32574f4de3a4a8447f8ac689982e57b,3934774856,2.60699E+12,0.00192249,
0xac34dad9e2f153dd55fc7c1bef642f57a5551b95,3794111014,2.51379E+12,0.00185376,
0xa25f88c7839c78e8ce60fa4ac488d4a321ea2354,3376507994,2.23711E+12,0.00164972,
0xff917bf27e4174e6126dbfbcfe3fa3a1c07ce0a4,3161249302,2.09449E+12,0.00154455,
0xbf3838ac8bb367082ea17ad5fb266eaccf63bd0f,3159478637,2.09331E+12,0.00154369,
0x5e82919ad9de55e4acaf9fa3b1dc58cea94e2664,2988125975,1.97978E+12,0.00145997,
0xa581a4dd7e292bad18589c71a3ca0a8a9382e435,2982404358,1.97599E+12,0.00145717,
0xfb91acc79fd1d9632a9d1f07e081311d3d216d7b,2972909398,1.9697E+12,0.00145253,
0xae86201c431166837f720c3a11c956312ee98412,2950341162,1.95475E+12,0.0014415,
0x4a1e7caf1ca7116aa0ec5eb366ec0a28365d815e,2941011300,1.94857E+12,0.00143695,
0x19fbfe78b0f04a56e7982bf681fd0874308443ea,2628220823,1.74133E+12,0.00128412,
0x1895fc0f1fadecb42a5cacf9101e0283f66b576e,2462302418,1.6314E+12,0.00120305,
0x12b47e2b9aa2ea202aa5ec75ac9e7875205ab9f9,2451235482,1.62407E+12,0.00119765,
0x9da36097dce082a6e96223f61d1db2977de8853b,2450591686,1.62364E+12,0.00119733,
0x75ac0ddc8f2c6edfcc38514a4037c056244433c7,2394719013,1.58662E+12,0.00117003,
0x87b602549d478ce67654e468835ae5495fd01704,2218831790,1.47009E+12,0.0010841,
0x0839e6d3d9b66ff45474f54c75c70d824550bb21,2205683831,1.46138E+12,0.00107767,
0x3dd7cac1a7bc4b8c40af140e18dbfdcfb9e73a62,1990710462,1.31895E+12,0.00097264,
0xa3c9665ff219f401bfa5ee2e3707ab3ab576db73,1986980942,1.31647E+12,0.00097082,
0x53e1d6468082b9592eb8deda6b146d2088ad0645,1968490181,1.30422E+12,0.00096178,
0x84f789a51cd91f061c2d9ec38a052d6c996accd6,1966274908,1.30276E+12,0.0009607,
0xe7f7b84d2127ed50058fb0cca331a490d31ace03,1961053902,1.2993E+12,0.00095815,
0x03ba8af808f4d73ee31d8b933ab8663a9c27eef0,1949010084,1.29132E+12,0.00095226,
0x8cb5ee7b4a38f36c2998dc159cd02bbc1160f885,1822402776,1.20743E+12,0.00089041,
0xfd6e724d8e8ec1c31e4d805108ace64ea71eb31b,1782926787,1.18128E+12,0.00087112,
0xf8c463e222ed653b6ca8e93d4545e7051aae33a4,1705149362,1.12975E+12,0.00083312,
0xe0da75c6254c1caba9a6952f74c528a0efb40da3,1692326867,1.12125E+12,0.00082685,
0x4f8febee0711b76c64bd93f90a534def9826e067,1628372545,1.07888E+12,0.0007956,
0x9c63c607628ae0a7f0f3cf541baa3a21ad726cc8,1601456320,1.06105E+12,0.00078245,
0x628867fd6ffcc4a5ce600550ee305224eb6b337e,1485036984,9.83912E+11,0.00072557,
0x8f9dc62b5640cfaf3d55d328f6f0a1129456b70d,1476638776,9.78348E+11,0.00072147,
0x963b22046ec3992a128dc5c4a1f57da6bcb3fab3,1441914794,9.55341E+11,0.0007045,
0xb96a432a8d8a1a9347ea96411ff19358ff687afe,1375292113,9.112E+11,0.00067195,
0x1512b1368544eae23640d649a2e3ecc652770aaf,1156893235,7.665E+11,0.00056525,
0x91867cd18014b6ebfafd58096f95f35141052055,1131404840,7.49613E+11,0.00055279,
0x2c49e49c16f1a97cc315454e2e0d6e9edbe3cdbc,1060682810,7.02756E+11,0.00051824,
