Address,Amount,LP,Percent,Contract
0xf52d5611fadf5d1065bb58ed59b4595859751abd,347717425950,403166563907339,0.23456881,
0x17a871e5a1ad02bdbfa09ea1e345cdd746d38978,112597401366,130552868581724,0.07595776,
0x7549c04c9be58db47def7722e84d22b7697955f2,103896478400,120464443460548,0.07008816,
0xcfc00d652b699cd60624fd7a1b0245ef016178be,103723083933,120263398456059,0.06997119,
0x063608d16d09e48e46329d6bf833cd31dc341030,55263079358,64075666483587,0.03728026,
0xe86f952fa95afbde72ae694b7e886a177aaf0749,51481442526,59690986816361,0.03472918,
0x101ded8dec510217a437d4def7d8f4df59fddb6b,49878378150,57832288034072,0.03364776,
0x86772d018eb9fcfe80143978d79799e6882722bc,49196267682,57041404077545,0.03318761,
0xf58a81ee3fdc4197fd4250d16be6432a52cb4ce1,42937907337,49785047485424,0.02896574,
0xa856662e83d487da9d42fde1ba06d998ddddc18e,41200427705,47770498771972,0.02779365,
0x125110c3b1b4859d833b1353d7af5bda51baaf2e,39888612606,46249493649779,0.02690870,
0xf7be187d3b2404a11b1c47b8b2ea0d9ae88552c7,36192968824,41964520007909,0.02441563,
0x836f6e39a345eb56c8d5e5bf0cec65246674dcaf,34177513019,39627667348343,0.02305602,
0x8ab4e5f00e60afed2b79959df6b54990053efca5,29714085799,34452474846496,0.02004501,
0x8df36936ed756ec96ec3030aaeec2d3f70b151d1,27992947469,32456873318561,0.01888393,
0x77e7c2a3b6e9a017928d2a9d9c95b19490158a6e,25488387093,29552920494996,0.01719437,
0xe0daa23cac0f92d26c9b73f610c373677ce21e70,19723197609,22868378792236,0.01330519,
0xc8662258b5ef07b1fb7fba02a2802e01f31f7d3f,19695888247,22836714513088,0.01328677,
0xd2a43987ca7fa2b15b10c816ea4fe44d74b5f975,16586313560,19231268112621,0.01118906,
0x9b33cc1fd5f95e2b72bd7effee8a17683006a82b,15094591488,17501666956079,0.01018275,
0x980862e397505eb105fd10798c65d1b072ee8dba,14993464635,17384413799349,0.01011453,
0xe9fdba093438e0c0925ffdfc90cd580b9432fa40,14489949348,16800604898831,0.00977486,
0x69d7bdeb6a3e0643e53a8453490165677828c3e7,14485785079,16795776570141,0.00977205,
0x700e45b86fd440978dfa86b6ce84f6a3c5019cb0,14164277368,16422999281918,0.00955517,
0x70f9b998484c34df8d5cc6b60ffd1f415f1044f5,12934898790,14997576510311,0.00872583,
0xa5e4c74f9c18e1c1944f2165aa8d0db994c2a263,12631782634,14646123606432,0.00852135,
0x06a734791347cd6e5a4be3dbc4fe536574865f5c,11981519850,13892165959513,0.00808269,Safe 1.4.1
0x8797b19d1039a15503cc4951ce47959ab92116e1,11163621040,12943840025169,0.00753093,
0x9ce81e746b9f0691f719d1c530d6860d01e02e93,10901075051,12639426854148,0.00735382,
0xd27e6f302f2680e804919c8b8137e15e1c100555,10281811148,11921411358542,0.00693607,
0x8a4be368254a6d66d4de397d7172c53028c9d230,9928177408,11511385029123,0.00669751,
0x7ab7ba8d27e4fdbc68253d491060b1a029742d90,9866830784,11440255698926,0.00665613,
0x539460bd8d7d6130ce6c4a65c0b59da3b3d2da42,9854617924,11426095301908,0.00664789,
0x76e2b380628a6991ebbf8575cf182ad4e4805a5a,8790744898,10192570605369,0.00593020,
0xb99539328c8e97698f84c7c29e466aeb421c9f37,8605506461,9977792919308,0.00580524,
0xca2cedc1f7aeaf678990e7bb9f8b423ddca84d7c,5954316792,6903828402870,0.00401676,
