address,,raw_amount,Amount sent
0x1257e1031cb9f94b7ab8b4bcf3e5304571a7ab08,#REF!,17544256295612996370,17.544256
0xf29593ac58c78ecc0bf1d0e8b55e819c5b521ae4,#REF!,2967672957484073138,2.967673
0x21c795b221821c335a63c96d171dedd294c6efd8,#REF!,2755208221896063019,2.755208
0xfbe0582d5764bd754caec3026ab861686f08da65,#REF!,2733512482563634099,2.733512
0x8366782726afac41b1b38761094f2d93cbb8e2d4,#REF!,2335553835482292652,2.335554
0x5b27529abde9e1b9325a48d82a6e21f7d044d1cf,#REF!,1396525253193252521,1.396525
0xffc95714864c3060b16d22dcd7a83403a58326e4,#REF!,1396284995997797664,1.396285
0xac207c599e4a07f9a8cc5e9cf49b02e20ab7ba69,#REF!,1390858106518341245,1.390858
0x0fab3da00d5c30889ca97a27428e658f32ecf96b,#REF!,1363962349730522064,1.363962
0x66c7a12c23167f1c532943805e263405f08c8a60,#REF!,1201388609571498367,1.201389
0xf57c8c3d35ed642c1611fcebbf2c45a3f05f66eb,#REF!,966295133370557512,0.966295
0xc2d5904602e2d76d3d04ec28a5a1c52e136c4475,#REF!,952459358709474376,0.952459
0xe5c63d6fd2f0dcb0dae20d8d5d89d9dcf9f5fd63,#REF!,939670378772498219,0.93967
0x8322961c710571556ec8bc91554f675cd1828e85,#REF!,548290962056789543,0.548291
0x1f80ad29759dff3133f49b077b920290552eee83,#REF!,495706028835498177,0.495706
0xe99746a641dc877c5142f47d217d75bd53bbc402,#REF!,480396964590610522,0.480397
0x9bb46e25b9701ef0674a068033b443434ab24596,#REF!,396553489518417922,0.396553
0x10306f9fbe54347a7b90a286afe446a489bf0fc5,#REF!,391494195114465890,0.391494
0xe25db40a6b967ca5ada8ad23d2a2e0b4f2868242,#REF!,263553366117303631,0.263553
0x762242c38931a2433beaa93d2d2aa22fdfc2160f,#REF!,214724270695608159,0.214724
0x6fabd9026980111f017268070b24bb8cc461905e,#REF!,154323100014362496,0.154323
0x735dd9dd1fee6454ec033dac876c50870c44768a,#REF!,142516423763477334,0.142516
0x701386193b756f4931f68881f536724a808cdcba,#REF!,137054525194032203,0.137055
0x3bc92a01f6b7cb52ca1bb18078b0e72c97b898c0,#REF!,127894770625214162,0.127895
0x1f92b5affd12981ef0fa7ba22a802379fd36929e,#REF!,122828297192433343,0.122828
0x8f606f976c37789d1a0a7cd14ef4641451bbd56f,#REF!,104823414195092734,0.104823
0x1b9da6a404df58c6bef6336e207c92b0d330bea2,#REF!,99787335044163259,0.099787
0x57370d8350409085b33253f9d4525f1eea26e1e3,#REF!,97577457352537962,0.097577
0xbd2b82f10a13a43515553c394c951f2191cda70d,#REF!,91174350639280383,0.091174
0x5ea0feb5c98358c68b350f06abae19dc70621244,#REF!,90997634552775107,0.090998
0xbbe366111e9307573f54097766edd66132bcb487,#REF!,86408316901635003,0.086408
0xabc55860838c9338646fe77f4cd9137342b45cc1,#REF!,70888031961345864,0.070888
0xdfcb6b1f3d6b671099ba0f483d2c6632ce3314c2,#REF!,69556697755607843,0.069557
0x513bb2a1d6fd2009a708be45759eda01dc607f12,#REF!,68126233545696466,0.068126
0x5709437eab39b23fe1807e4ff05e7424e4f70861,#REF!,55381365320969243,0.055381
0x4eb379128ddc25dded4af52a83015a80cb38d8c0,#REF!,45173477021354950,0.045173
0xe04371e7db88536642441d7ee8b5a06839d09b98,#REF!,36292316510781559,0.036292
0x2be250612790d1df5ebfea46c2346654cd7a0afa,#REF!,32240223918574312,0.03224
0x01f00b86b3734bf1f353c32aa978bcf7df5d2c1d,#REF!,30838766070292925,0.030839
0xdf9c6d492ea924815d03d2b81120da4cd908724c,#REF!,22695518977649061,0.022696
0x82e2d8519af3face3fcf0bdaa1faeaeb1942fa45,#REF!,22598072108408574,0.022598
0x9aa90bad97e77c435ed6583c3dd2d533704be252,#REF!,21454594401988934,0.021455
0x3e84602eb1a6793878f3b6e4d1599c093a43f0b2,#REF!,20752480603955909,0.020752
0x93616cec6304baca0d45fb99847d68c074fbe9a0,#REF!,15108910146697986,0.015109
0xe81dffe19a1af821f11770065b9a67e3fad5951d,#REF!,7341923619414808,0.007342
0xd8454b3787c6aab1cf2846af7882f8c440c3903d,#REF!,4195160263898673,0.004195
0xdda8ae5cff0662bc390089569ba330d2d85d72b5,#REF!,3455831101310776,0.003456
0x18ef14e38fe6090666c072fdc43cbee338037095,#REF!,3.17955E+15,0.00318
0xaba35edf7ba2756930cb8b03fdc7294933875922,#REF!,2632634004496977,0.002633
0x5eafcf8eab17df4229ab8a30a8f0de33de97206b,#REF!,2548030712131904,0.002548
0x3636a58be416d067bf08189b096a5691a74e34e0,#REF!,2.12253E+15,0.002123
0x6508e3236423adb6c3e13285957431865e4108c2,#REF!,1822541620387972,0.001823
0xb5e6b895734409df411a052195eb4ee7e40d8696,#REF!,682809045553680,0.000683
0xbe660cdf0ca4763ee2b93065e0a7315f23076ce8,#REF!,659625526459847,0.00066
0x28f1e39159866de0ff9b59be5570cfce828564b7,#REF!,511740206757016,0.000512
0x1f95b1ff006311baa9865ba48382a144f8135fe7,#REF!,432097329529257,0.000432
0xae758a1f56d40a1918c0467f2df140ea27f843c2,#REF!,317060422257565,0.000317
0xf177414566d855fdc106f73815cdbece6379c1d0,#REF!,246424022868997,0.000246
0xc7fb4dcf75b040788db89ddfd1c70949fcbec59d,#REF!,228366120957772,0.000228
0x980cbcb2fecbebcf833b836cbfc9469f3b4fcb43,#REF!,204358989227891,0.000204
0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,#REF!,168935524722447,0.000169
0x4d180af22cd72b8c6593656a0e123e0c4760e6ac,#REF!,139368601653174,0.000139
0xd88db0c6a338b4dad3750eba6bbd759fc6f59c1b,#REF!,137179523167272,0.000137
0xd39b2a01d4dca42f32ff52244a1b28811e40045f,#REF!,96290694745299,0.000096
0x65ef8fd6168a4bc2cfebf83b0c83a8a9b7aad1f9,#REF!,92067598330878,0.000092
0x5e9ff1d1f2017fc69b5e3accb0d47fc504093973,#REF!,84906102056847,0.000085
0xeda49bce2f38d284f839be1f4f2e23e6c7cc7dbd,#REF!,80791993447650,0.000081
0xea7c99eae555c7c958d43a618ddeedebc5fd3874,#REF!,73648954859567,0.000074
0xf6f9f8729814d0898a437f877cdbc6806f20bde2,#REF!,45293620698389,0.000045
0x52190def1a6edf7852c73fa05a5e08578c486f7f,#REF!,6905066006404,0.000007
0xd77ba56bbfa57515e4eaa6b55225ca82b57b58d3,#REF!,6905043445402,0.000007
0x2e086aa3c4fa88cd17a80842199c59f6597551d0,#REF!,5983966630630,0.000006
0x665a5060053dc2d98fac74389285e423265919f0,#REF!,4584263929890,0.000005
0x8f6da814f47f7ad2ff1c2f61f758cf7278f96643,#REF!,4528955740167,0.000005
0xd577c5d0a43c6359cc3926d70fc7f48e726fc121,#REF!,1599302369462,0.000002
