address,raw_amount,Amount sent
0xf7044e57bcd224cca81378c5d636194d228f1353,16091811929,16091.8119
0xfd1d918196c4586a7d58cb75f1acae330ff5f348,2251158225,2251.1582
0x23b83c2821d1e9fe5c40ce3c014d2420f2f1eeb7,2151373848,2151.3738
0x8c15d5d5df361cbf8e33b1f019e35f47324d9500,1977492964,1977.4929
0xc1dd99f39d9504af370f36283303cdc86dbebb68,1928275603,1928.2756
0xbc7839dd75f428e6401c872a051dd6ef1fb67885,1713391659,1713.3916
0x5215461770809a456de83d5e7bb6c4d7e0134a8b,1144094067,1144.094
0x089204d6aa0f1d0dfec37f2cb845f6226b6f0c65,1027642453,1027.6424
0xb81d739df194fa589e244c7ff5a15e5c04978d0d,999107959,999.1079
0xc3ad78caa7984ecabb06c6bd4934c3d8e9efd593,998274093,998.274
0xe173cc94d4755b72eb9196cf50dbcd2cba54e348,886182092,886.182
0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,820158165,820.1581
0xff5c79e09d12297454d5a31ddd63da26c8d37fb8,793573741,793.5737
0xb46bbe83db7847b7aca6109351257cd0821c2f11,778457774,778.4577
0x6b745f51d57b80abd9ce729ec2e918303a5b737b,767575870,767.5758
0xa75b7c9781dd52298b3aa4c238a7fe84be90cbdf,694763835,694.7638
0x6b2966204885f05f950e20b6162773496adc9c7b,616716916,616.7169
0x1dcdc58b6ee3a9751cd19eeef4c2637cb86f55e1,507820751,507.8207
0xbe11ca34256282b23d6523d464a7db30920fb7dc,479478190,479.4781
0x2409e63be7c13b71ff9690acad1ddc04c92a8006,422023389,422.0233
0x098ddb5f48ad1daa5f691c4b2ad6360e45a22747,315401831,315.4018
0x1699bf76d30bd7813564e35fa786d7a967958a04,311664186,311.6641
0x54aaa6bc9b6f3d3b364c55e0c967e0c8bbc044c3,294756760,294.7567
0xa8d4fb9b9ab718dd2a79c9ee58c2366ff042f891,275947485,275.9474
0x6648b5554632ed5d6ec27ec6737e98a0a3dbbc94,246401508,246.4015
0xe0948c933ff574d58db56f47fbafc27c3348eaed,244846363,244.8463
0xa61d9946974adcd77e2965686c5c25845fd80c87,229331101,229.3311
0xc8bf40263577a4d42c074bc060773e761a30709b,219257222,219.2572
0x000000000000000000000000000000000000dead,216489264,216.4892
0x862001e214da4ec2e75789a35a2c23eb0c481cea,202590095,202.59
0x53e02d9a84cc33f70772d78dd942903fa4291e46,200724866,200.7248
0xb0f19d5bcc5f07a718000a66d8caba04136dc7a5,198332100,198.3321
0xf61ba3429be93e78eacd126eb0d9f3cf52aed8f2,196705882,196.7058
0x08b776a6907303558433be9b9583f21d41a58dfd,191939897,191.9398
0xd0564bb97b8fd5c1e3944e29070e483d45005928,187818279,187.8182
0x43570d02cead9c6c8770d18494e9e3ff347f0df0,187486171,187.4861
0xb4449f90fe785f1c764de2eb3be86204ebd0c312,182354806,182.3548
0xc4b03295f6e2e7a7fb6d066fbc4f1c7fc1373eb4,180119960,180.1199
0x7387bf434cb00872d3aefc0ee4c662f0ad70bbdf,158149423,158.1494
0x928a58fb7e9f9ac2e0541f747acd29870c04d198,140802625,140.8026
0x8d2ae74898d7c068dd9e1a73929dd77b75d819b7,126292424,126.2924
0x7c21aaccd7b0cd749a06352ecce515e64e6a39fd,125230348,125.2303
0xccd08c9520998b47b31c3768690ec6c1193cdc69,98798336,98.7983
0x81fdbcb9ea6c7600679f6501967c0d1073408526,94099124,94.0991
0xea0b0d16e5368e1db60366a0df607dd554d4b4cb,92625137,92.6251
0x63284c54a82ca1785a0a03fa8402efd735edb333,91051434,91.0514
0x8c5d82e343f86cb1561412b96f0d9b278b3ed96e,90140064,90.14
